benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/170055892.cnf.bz2,cadical-alluip-trail,default,51.4649,complete,SAT-VERIFIED,0.012184,--
sat/170055892.cnf.bz2,cadical-trail,default,30.0261,complete,SAT-VERIFIED,0.0128111,--
sat/170055892.cnf.bz2,cryptominisat-ccnr,default,18.5622,complete,SAT-VERIFIED,0.011771,--
sat/170055892.cnf.bz2,cryptominisat-ccnr-lsids,default,18.2636,complete,SAT-VERIFIED,0.011636,--
sat/170055892.cnf.bz2,cryptominisat-walksat,default,18.1986,complete,SAT-VERIFIED,0.013934,--
sat/170055892.cnf.bz2,exp_L_MLD_CBT_DL,default,5000.02,timeout (wallclock),UNKNOWN,0.0350189,TIMEOUT
sat/170055892.cnf.bz2,exp_V_LGB_MLD_CBT_DL,default,5000.02,timeout (wallclock),UNKNOWN,0.021684,TIMEOUT
sat/170055892.cnf.bz2,exp_V_L_MLD_CBT_DL,default,5000.1,timeout (wallclock),UNKNOWN,0.0282209,TIMEOUT
sat/170055892.cnf.bz2,exp_V_MLD_CBT_DL,default,431.101,complete,SAT-VERIFIED,0.021453,--
sat/170055892.cnf.bz2,glucose3.0,proofs,5000.01,timeout (wallclock),UNKNOWN,0.034423,TIMEOUT
sat/170055892.cnf.bz2,upGlucose-3.0_PADC,default,5000.11,timeout (wallclock),UNKNOWN,0.026182,TIMEOUT
sat/170058143.cnf.bz2,CaDiCaL-sc2020,default,5000.05,timeout (wallclock),UNKNOWN,0.023145,TIMEOUT
sat/170058143.cnf.bz2,DurianSat,default,5000.02,timeout (wallclock),UNKNOWN,0.0166329,TIMEOUT
sat/170058143.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL,5000.06,timeout (wallclock),UNKNOWN,0.0235941,TIMEOUT
sat/170058143.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Exp,5000.03,timeout (wallclock),UNKNOWN,0.0146379,TIMEOUT
sat/170058143.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Lin,5000.03,timeout (wallclock),UNKNOWN,0.024073,TIMEOUT
sat/170058143.cnf.bz2,ExMapleLCMDistChronoBT,PSIDS_DL,5000.11,timeout (wallclock),UNKNOWN,0.0271221,TIMEOUT
sat/170058143.cnf.bz2,Kissat-sc2020-default,default,4.50047,complete,SAT-VERIFIED,0.01156,--
sat/170058143.cnf.bz2,Kissat-sc2020-sat,default,9.79743,complete,SAT-VERIFIED,0.00986292,--
sat/170058143.cnf.bz2,Kissat-sc2020-unsat,default,14.931,complete,SAT-VERIFIED,0.0140661,--
sat/170058143.cnf.bz2,MLCMDChronoBT-DL-Scavel,default,2480.78,complete,SAT-VERIFIED,0.020876,--
sat/170058143.cnf.bz2,Maple-LCM-Dist-alluip-trail,default,5000.08,timeout (wallclock),UNKNOWN,0.0236001,TIMEOUT
sat/170058143.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,LRB_VSIDS_2_init,5000.03,timeout (wallclock),UNKNOWN,0.0339591,TIMEOUT
sat/170058143.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,default_drup,5000.06,timeout (wallclock),UNKNOWN,0.0184519,TIMEOUT
sat/170058143.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel01,default,5000.02,timeout (wallclock),UNKNOWN,0.0245019,TIMEOUT
sat/170058143.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel02,default,531.163,complete,SAT-VERIFIED,0.01919,--
sat/170058143.cnf.bz2,MapleLCMDistChronoBT-DL-f2trc,default,5000.03,timeout (wallclock),UNKNOWN,0.0200031,TIMEOUT
sat/170058143.cnf.bz2,MapleLCMDistChronoBT-DL-v3,default,5000.02,timeout (wallclock),UNKNOWN,0.0258039,TIMEOUT
sat/170058143.cnf.bz2,MapleLCMDistChronoBT-f2trc,default,1769.91,complete,SAT-VERIFIED,0.018892,--
sat/170058143.cnf.bz2,MapleLCMDistChronoBT-f2trc-s,default,3301.69,complete,SAT-VERIFIED,0.0211029,--
sat/170058143.cnf.bz2,Maple_CM+dist,default,5000.05,timeout (wallclock),UNKNOWN,0.0314929,TIMEOUT
sat/170058143.cnf.bz2,Maple_CM+dist+sattime2s+-,default,0.101084,complete,SAT-VERIFIED,0.0126029,--
sat/170058143.cnf.bz2,Maple_CM+dist+simp2--,default,5000.02,timeout (cpu),UNKNOWN,0.0260899,TIMEOUT
sat/170058143.cnf.bz2,Maple_CMused+dist,default,5000.03,timeout (wallclock),UNKNOWN,0.0233209,TIMEOUT
sat/170058143.cnf.bz2,Maple_mix,default,5000.04,timeout (wallclock),UNKNOWN,0.033722,TIMEOUT
sat/170058143.cnf.bz2,Maple_simp,default,5000.02,timeout (wallclock),UNKNOWN,0.026079,TIMEOUT
sat/170058143.cnf.bz2,ParaFROST,default,5000.08,timeout (wallclock),UNKNOWN,0.016316,TIMEOUT
sat/170058143.cnf.bz2,ParaFROST_CBT,default,5000.02,timeout (wallclock),UNKNOWN,0.022948,TIMEOUT
sat/170058143.cnf.bz2,PauSat,default,5000.03,timeout (wallclock),UNKNOWN,0.023847,TIMEOUT
sat/170058143.cnf.bz2,PauSat_noproof,default,5000.1,timeout (wallclock),UNKNOWN,0.022698,TIMEOUT
sat/170058143.cnf.bz2,Relaxed_LCMDCBDL,default,198.489,complete,SAT-VERIFIED,0.0199571,--
sat/170058143.cnf.bz2,Relaxed_LCMDCBDL_newTech,default,350.553,complete,SAT-VERIFIED,0.0176679,--
sat/170058143.cnf.bz2,SLIME,default,5000.01,timeout (wallclock),UNKNOWN,0.019098,TIMEOUT
sat/170058143.cnf.bz2,Top16-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.05,timeout (wallclock),UNKNOWN,0.0157561,TIMEOUT
sat/170058143.cnf.bz2,Top24-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.05,timeout (wallclock),UNKNOWN,0.0132681,TIMEOUT
sat/170058143.cnf.bz2,Top36-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.07,timeout (wallclock),UNKNOWN,0.0182591,TIMEOUT
sat/170058143.cnf.bz2,Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.03,timeout (wallclock),UNKNOWN,0.019197,TIMEOUT
sat/170058143.cnf.bz2,cadical-alluip,default,89.0858,complete,SAT-VERIFIED,0.018002,--
sat/170058143.cnf.bz2,cadical-alluip-trail,default,86.3395,complete,SAT-VERIFIED,0.017531,--
sat/170058143.cnf.bz2,cadical-trail,default,29.4461,complete,SAT-VERIFIED,0.017485,--
sat/170058143.cnf.bz2,cryptominisat-ccnr,default,18.5272,complete,SAT-VERIFIED,0.016163,--
sat/170058143.cnf.bz2,cryptominisat-ccnr-lsids,default,18.5616,complete,SAT-VERIFIED,0.0106561,--
sat/170058143.cnf.bz2,cryptominisat-walksat,default,17.9245,complete,SAT-VERIFIED,0.0149719,--
sat/170058143.cnf.bz2,exp_L_MLD_CBT_DL,default,2429.47,complete,SAT-VERIFIED,0.0175429,--
sat/170058143.cnf.bz2,exp_V_LGB_MLD_CBT_DL,default,5000.05,timeout (wallclock),UNKNOWN,0.0241881,TIMEOUT
sat/170058143.cnf.bz2,exp_V_L_MLD_CBT_DL,default,2423.78,complete,SAT-VERIFIED,0.016294,--
sat/170058143.cnf.bz2,exp_V_MLD_CBT_DL,default,2449.08,complete,SAT-VERIFIED,0.021319,--
sat/170058143.cnf.bz2,glucose3.0,proofs,5000.11,timeout (wallclock),UNKNOWN,0.022735,TIMEOUT
sat/170058143.cnf.bz2,upGlucose-3.0_PADC,default,5000.09,timeout (wallclock),UNKNOWN,0.028161,TIMEOUT
